,ID,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhode Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Day,Month,Year
33,33,308,7,121.0,301.0,50.79004911,10350.0,39.0,2.272727273,1706.7435329999996,12.66233766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
34,34,6604,253,,6351.0,59.10222609,63243.0,1948.0,3.831011508,565.9906245,29.49727438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
35,35,1970,96,865.0,1874.0,53.85995428,22760.0,446.0,4.873096447,622.2601824,22.63959391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
36,36,1527,52,,1475.0,38.10760670000001,29758.0,359.0,3.405370007,742.6366471,23.51015062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
37,37,22938,557,,22381.0,182.2284446,124890.0,2097.0,2.428284942,992.175013,9.142035051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
38,38,2665,63,35.0,2602.0,251.56674640000003,20350.0,201.0,2.363977486,1920.969339,7.542213884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,08,31,020
39,39,3320,82,,3238.0,65.87334263,31425.0,496.0,2.469879518,623.5149976,14.93975904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,08,31,020
40,40,730,6,197.0,724.0,99.19933903,8553.0,43.0,0.8219178079999999,1162.262941,5.890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,08,31,020
41,41,5508,106,1504.0,5402.0,83.90037425,70677.0,567.0,1.924473493,1076.584377,10.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,08,31,020
42,42,13677,283,2014.0,13394.0,59.50516088,124533.0,1338.0,2.069167215,541.8115230000002,9.782847116000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,08,31,020
43,43,2303,18,,2285.0,80.3592053,44234.0,195.0,0.781589231,1543.468991,8.467216674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08,31,020
44,44,727,27,15.0,700.0,119.0649715,9841.0,34.0,3.71389271,1611.717172,4.6767537830000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,08,31,020
45,45,5274,141,,5133.0,66.69845192,39985.0,751.0,2.673492605,505.6764505,14.23966629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,08,31,020
46,46,10609,506,,10103.0,140.5276682,93615.0,642.0,4.7695352999999985,1240.031828,6.051465737000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,08,31,020
47,47,593,6,83.0,587.0,44.82244115,16257.0,81.0,1.0118043840000002,1228.8000439999996,13.65935919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,08,31,020
48,48,3341,144,,3197.0,64.56573888,39257.0,974.0,4.3100868,758.6522632,29.15294822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,08,31,020
49,49,270,0,137.0,270.0,54.29973453,5459.0,40.0,0.0,1097.860188,14.81481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08,31,020
50,50,3734,99,,3635.0,79.63493333293523,29182.0,457.0,2.6513122656668453,622.3638523089759,12.23888591322978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
51,51,277,8,85.0,269.0,46.34052085407085,7830.0,32.0,2.888086642599278,1309.9143620482844,11.552346570397113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
52,52,3705,122,,3583.0,50.90182789082197,43347.0,525.0,3.292847503373819,595.5307782951309,14.170040485829961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
53,53,1410,29,391.0,1381.0,54.46061396810462,20804.0,130.0,2.0567375886524824,803.5451155974812,9.21985815602837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
54,54,23931,714,,23217.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,486.8368231271593,12.59872132380594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
55,55,7691,306,,7385.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,662.3476017295789,19.139253673124433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
56,56,13381,602,,12779.0,375.31340394195473,44309.0,1760.0,4.498916373963082,1242.7891499337925,13.152978103280773,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
57,57,1758,41,213.0,1717.0,180.53655711240086,11820.0,201.0,2.3321956769055747,1213.8464761482248,11.433447098976107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
58,58,21019,499,,122520.0,579.3871934514303,196207.0,2833.0,0.405628398865216,924.083459185368,2.302896300571456,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
59,59,13315,465,,12850.0,131.31949811985785,57021.0,2589.0,3.492301915133308,562.3709427181686,19.44423582425836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
60,60,504,9,310.0,495.0,35.59860035344325,18844.0,44.0,1.7857142857142858,1330.9921132148504,8.730158730158731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
61,61,1426,27,,1399.0,88.54409539415472,14881.0,132.0,1.8934081346423561,924.0004793551308,9.256661991584851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
62,62,22025,798,,21227.0,187.6759648568341,105768.0,3680.0,3.623155505107832,901.2536413610727,16.708286038592508,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
63,63,8359,350,,8009.0,127.7354471902022,44539.0,,4.187103720540734,680.6088147391332,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
64,64,1710,41,741.0,1669.0,65.249418765046,18696.0,142.0,2.3976608187134505,713.3936451645029,8.304093567251464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
65,65,1390,62,,1328.0,57.00253599771662,13864.0,309.0,4.460431654676259,568.549035303844,22.230215827338128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
66,66,2018,113,607.0,1905.0,58.948915710937655,25866.0,667.0,5.599603567888999,755.5860524177965,33.052527254707634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
67,67,21016,884,,20132.0,457.1412661351334,108091.0,2134.0,4.206318995051388,2351.20177949242,10.154168252759805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
68,68,698,19,273.0,679.0,59.454551339601316,12306.0,124.0,2.7220630372492844,1048.2058865116533,17.76504297994269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
69,69,8936,262,603.0,8674.0,150.3532949093396,51751.0,1975.0,2.9319606087735006,870.7400811160737,22.10161145926589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
70,70,26867,844,,26023.0,391.4319997808785,122049.0,2340.0,3.1414002307663678,1778.1622116818567,8.709569360181638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
71,71,25635,1602,447.0,24033.0,321.7543197729608,82644.0,3986.0,6.249268578115858,1037.2952605155676,15.549054027696506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
72,72,1621,70,842.0,1551.0,32.771003666066505,38427.0,361.0,4.318322023442319,776.8608006637493,22.27020357803825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
73,73,2942,98,,2844.0,101.61625804865007,30984.0,549.0,3.3310673011556764,1070.1829161724588,18.66077498300476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
74,74,4515,123,,4392.0,77.05493479258142,45428.0,988.0,2.7242524916943522,775.2938156716257,21.882613510520486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
75,75,394,7,171.0,387.0,45.4972187804205,9098.0,47.0,1.7766497461928934,1050.5931382341766,11.928934010152284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
76,76,814,17,,797.0,53.36753051259054,10972.0,,2.0884520884520885,719.3471066144267,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
77,77,2990,114,,2876.0,99.1150254732245,25464.0,,3.812709030100335,844.1020095820031,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
78,78,985,23,239.0,962.0,74.16342154639392,11207.0,152.0,2.33502538071066,843.8065637263318,15.431472081218276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
79,79,64584,2443,,62141.0,727.1179742833693,129469.0,7781.0,3.7826706304967175,1457.624752454068,12.047875634832153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
80,80,1262,26,295.0,1236.0,75.68066119231223,30515.0,80.0,2.060221870047544,1829.9487926175973,6.3391442155309035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
81,81,195749,10058,23887.0,185691.0,1160.9555172357552,478357.0,42712.0,5.138212711176047,2837.057652188998,21.819779411389074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,31,020
