Province_State,Date,Incident_Rate,People_Tested,People_Hospitalized,Confirmed
Minnesota,439,32.771003666066505,38427.0,361.0,1621
Mississippi,439,101.61625804865007,30984.0,549.0,2942
Missouri,439,77.05493479258142,45428.0,988.0,4515
Montana,439,45.4972187804205,9098.0,47.0,394
Nebraska,439,53.36753051259054,10972.0,6250.044184664157,814
Nevada,439,99.1150254732245,25464.0,6250.044184664157,2990
New Hampshire,439,74.16342154639392,11207.0,152.0,985
New Jersey,439,727.1179742833693,129469.0,7781.0,64584
New Mexico,439,75.68066119231223,30515.0,80.0,1262
New York,439,1160.9555172357552,478357.0,42712.0,195749
North Carolina,439,49.264585407660405,63388.0,313.0,4886
North Dakota,439,54.58281251545964,10781.0,40.0,331
Ohio,439,62.422475312917825,65112.0,2033.0,6975
Oklahoma,439,56.566622029432146,22859.0,457.0,2069
Oregon,439,39.530091034006354,31121.0,369.0,1584
Pennsylvania,439,192.985150264584,129792.0,2243.0,24292
Rhode Island,439,251.56674636880157,20661.0,331.0,2665
South Carolina,439,67.2820797722211,31425.0,496.0,3391
South Dakota,439,117.95209079593201,9002.0,44.0,868
Tennessee,439,85.45408488043054,76195.0,579.0,5610
Texas,439,62.106907327923295,133226.0,1176.0,14275
Utah,439,82.45280161569806,45787.0,201.0,2363
Vermont,439,122.50426226393772,10366.0,33.0,748
Virginia,439,72.68031915095425,41401.0,1238.0,5747
Washington,439,140.8720663077597,93802.0,527.0,10635
West Virginia,439,46.18298742704071,16655.0,164.0,611
Wisconsin,439,66.24703767713304,40197.0,993.0,3428
Wyoming,439,55.30528517416137,5964.0,41.0,275
Alabama,442,84.30554137,33117.0,493.0,3953
Alaska,442,47.67887525,8348.0,32.0,285
Arizona,442,52.33065113,44096.0,580.0,3809
Arkansas,442,57.85957427,21131.0,130.0,1498
California,442,64.66945279,202208.0,5163.0,25356
Colorado,442,140.290495,38742.0,1493.0,7950
Connecticut,442,392.3667295,45841.0,1779.0,13989
Delaware,442,197.7891974,12304.0,204.0,1926
Florida,442,101.8622019,203180.0,3060.0,21628
Georgia,442,143.77586509999998,61795.0,2769.0,14578
Hawaii,442,36.09302536,19420.0,44.0,511
Idaho,442,90.90361547,15114.0,135.0,1464
Illinois,442,198.0972,110616.0,4283.0,23248
Indiana,442,130.3026867,46017.0,6250.044184664157,8527
Iowa,442,72.46119663,18885.0,163.0,1899
Kansas,442,59.09399595,14147.0,327.0,1441
Kentucky,442,59.82526233,26683.0,673.0,2048
Louisiana,442,468.06079960000005,118422.0,1977.0,21518
Maine,442,62.60615363,12342.0,124.0,735
Maryland,442,159.371801,53733.0,2122.0,9472
Massachusetts,442,410.3283151,126551.0,2340.0,28164
Michigan,442,338.8994885,86226.0,3910.0,27001
Minnesota,442,34.26702728,39241.0,405.0,1695
Mississippi,442,106.6245373,37878.0,596.0,3087
Missouri,442,80.99728029,47978.0,1041.0,4746
Montana,442,46.07459465,9234.0,50.0,399
Nebraska,442,58.80918289,11357.0,6250.044184664157,897
Nevada,442,103.8884581,26661.0,6250.044184664157,3134
New Hampshire,442,69.41997428,11610.0,152.0,922
New Jersey,442,774.8539493,139774.0,8185.0,68824
New Mexico,442,80.65807393,31970.0,181.0,1345
New York,442,1204.0786369999996,499143.0,46201.0,203020
North Carolina,442,51.55338215,65039.0,418.0,5113
North Dakota,442,56.23184008,10916.0,42.0,341
Ohio,442,65.19680755,67874.0,2156.0,7285
Oklahoma,442,59.71073104,28269.0,488.0,2184
Oregon,442,40.75292845,32363.0,381.0,1633
Pennsylvania,442,202.3039211,133631.0,2317.0,25465
Rhode Island,442,306.88311160000006,22900.0,331.0,3251
South Carolina,442,70.49638143,33872.0,675.0,3553
South Dakota,442,134.2588315,9296.0,45.0,988
Tennessee,442,88.75952809,78831.0,633.0,5827
Texas,442,65.28730307,146467.0,1409.0,15006
Utah,442,84.33703829999997,46476.0,213.0,2417
Vermont,442,123.1593653,10585.0,64.0,752
Virginia,442,78.18161354,42763.0,1282.0,6182
Washington,442,143.04442350000005,93929.0,387.0,10799
West Virginia,442,48.37497865,17038.0,164.0,640
Wisconsin,442,68.70134742,41552.0,1049.0,3555
Wyoming,442,56.71305607,5964.0,43.0,282
Alabama,445,86.90743260088672,34077.0,525.0,4075
Alaska,445,49.01722963986556,8664.0,34.0,293
Arizona,445,54.46014730343274,45310.0,590.0,3964
Arkansas,445,60.601917245358976,21834.0,130.0,1569
California,445,68.06156401321954,216486.0,5163.0,26686
Colorado,445,140.39637447009457,39580.0,1556.0,7956
Connecticut,445,413.85167589593766,50143.0,1908.0,14755
Delaware,445,206.82629466688027,13102.0,208.0,2014
Florida,445,106.020900119373,213509.0,3344.0,22511
Georgia,445,147.8096371252204,64090.0,2922.0,14987
Hawaii,445,37.011243224611626,19803.0,45.0,524
Idaho,445,91.46244916941791,15398.0,141.0,1473
Illinois,445,209.5580024392337,116929.0,4283.0,24593
Indiana,445,136.9194409408077,48396.0,6250.044184664157,8960
Iowa,445,76.12432189255367,19869.0,171.0,1995
Kansas,445,61.67756412990345,14668.0,342.0,1504
Kentucky,445,64.55753405409921,27697.0,687.0,2210
Louisiana,445,477.4794410416974,121928.0,1943.0,21951
Maine,445,65.58739904225362,14846.0,126.0,770
Maryland,445,168.79411979974208,55763.0,2231.0,10032
Massachusetts,445,435.88277699200967,132023.0,3454.0,29918
Michigan,445,352.17883590830917,89697.0,3918.0,28059
Minnesota,445,36.571712296060646,40242.0,445.0,1809
Mississippi,445,116.0539180977105,38151.0,645.0,3360
Missouri,445,81.76526967691198,49012.0,1024.0,4791
Montana,445,46.651970526116436,9583.0,51.0,404
Nebraska,445,59.071431193911636,11729.0,6250.044184664157,901
Nevada,445,106.4409186603759,27655.0,6250.044184664157,3211
New Hampshire,445,85.7585148643073,12166.0,178.0,1139
New Jersey,445,799.6901665017299,144021.0,8270.0,71030
New Mexico,445,88.99374105340044,32850.0,181.0,1484
New York,445,1271.8918333849808,526012.0,46201.0,214454
North Carolina,445,53.842178894168356,67827.0,431.0,5340
North Dakota,445,60.189506248165465,11317.0,44.0,365
Ohio,445,69.75208209159592,71552.0,2237.0,7794
Oklahoma,445,61.87059722213869,29219.0,510.0,2263
Oregon,445,41.50160441259632,33351.0,401.0,1663
Pennsylvania,445,212.53629693019985,137584.0,2395.0,26753
Rhode Island,445,306.8831116116225,25897.0,331.0,3251
South Carolina,445,72.54004236132123,34733.0,675.0,3656
South Dakota,445,158.7189424535122,9859.0,51.0,1168
Tennessee,445,88.75952809238302,80896.0,663.0,5827
Texas,445,69.20732573487047,151810.0,1538.0,15907
Utah,445,88.90805692627958,47614.0,221.0,2548
Vermont,445,124.30579553252504,11081.0,63.0,759
Virginia,445,82.20324943121675,44169.0,1298.0,6500
Washington,445,144.9386130267519,122854.0,645.0,10942
West Virginia,445,53.06130470340847,17656.0,164.0,702
Wisconsin,445,71.90934282281566,43047.0,1091.0,3721
Wyoming,445,57.718606709033864,6329.0,43.0,287
Alabama,448,92.66571647873691,36391.0,553.0,4345
Alaska,448,50.18828973365075,8735.0,35.0,300
Arizona,448,58.21080830591436,47398.0,578.0,4237
Arkansas,448,62.57176923994999,22675.0,85.0,1620
California,448,70.58906944442319,246400.0,5031.0,27677
Colorado,448,146.21975350165957,40533.0,1636.0,8286
Connecticut,448,445.51813079844635,53122.0,1926.0,15884
Delaware,448,212.5771747569226,13350.0,209.0,2070
Florida,448,109.93940169190724,219248.0,3460.0,23343
Georgia,448,154.53587803530252,67939.0,3108.0,15669
Hawaii,448,37.435036085962146,20700.0,45.0,530
Idaho,448,98.54100939026895,15831.0,143.0,1587
Illinois,448,219.28051212829826,122589.0,4423.0,25734
Indiana,448,145.81309212691818,51115.0,6250.044184664157,9542
Iowa,448,81.69532489822427,20675.0,175.0,2141
Kansas,448,66.2295652059801,16122.0,359.0,1615
Kentucky,448,71.13013367499167,28324.0,807.0,2435
Louisiana,448,490.1173871601078,126586.0,1914.0,22532
Maine,448,67.8020384904336,14872.0,130.0,796
Maryland,448,181.44694855666046,58843.0,2451.0,10784
Massachusetts,448,468.8529863754216,140773.0,3454.0,32181
Michigan,448,361.5923619402858,94286.0,3809.0,28809
Minnesota,448,36.571712296060646,41675.0,475.0,1809
Mississippi,448,125.17244023395918,38415.0,682.0,3624
Missouri,448,88.30171265045765,50648.0,1043.0,5174
Montana,448,47.922197446381986,9936.0,52.0,415
Nebraska,448,62.41509711054815,12294.0,6250.044184664157,952
Nevada,448,106.54036517422865,28451.0,6250.044184664157,3214
New Hampshire,448,85.7585148643073,12166.0,178.0,1139
New Jersey,448,847.9552903056566,151830.0,8224.0,75317
New Mexico,448,88.99374105340044,33394.0,215.0,1484
New York,448,1326.6749797239493,550579.0,50450.0,223691
North Carolina,448,56.85693760004033,70917.0,452.0,5639
North Dakota,448,64.80678343980554,11704.0,45.0,393
Ohio,448,75.30074656385528,74840.0,2331.0,8414
Oklahoma,448,64.4405645835532,30899.0,528.0,2357
Oregon,448,43.32338259787565,34938.0,414.0,1736
Pennsylvania,448,224.49260563875407,141470.0,2512.0,28258
Rhode Island,448,333.12534631726106,28064.0,331.0,3529
South Carolina,448,77.99641863302894,34733.0,675.0,3931
South Dakota,448,178.15114174362546,10550.0,55.0,1311
Tennessee,448,97.10691463685288,85049.0,691.0,6375
Texas,448,73.42319916399535,158547.0,1459.0,16876
Utah,448,93.61864863940664,49678.0,238.0,2683
Vermont,448,126.7624318078714,11507.0,58.0,774
Virginia,448,87.12279774333109,46444.0,1337.0,6889
Washington,448,146.46191228630923,124283.0,595.0,11057
West Virginia,448,55.02653821094211,18306.0,85.0,728
Wisconsin,448,74.8854349471676,44849.0,1121.0,3875
Wyoming,448,59.52859786018825,6427.0,43.0,296
Alabama,451,97.48561335427073,37848.0,594.0,4571
Alaska,451,51.693938425660285,9450.0,36.0,309
Arizona,451,61.975207993386746,49230.0,566.0,4511
Arkansas,451,65.46861040846619,23494.0,83.0,1695
California,451,74.36374960404116,258800.0,4892.0,29157
Colorado,451,153.3666277676712,41830.0,1693.0,8691
Connecticut,451,471.46274619687006,55462.0,1946.0,16809
Delaware,451,237.94266372550229,13350.0,209.0,2317
Florida,451,116.60838994516264,234837.0,3665.0,24759
Georgia,451,169.57622611136588,71684.0,3324.0,17194
Hawaii,451,38.21198966510475,21857.0,45.0,541
Idaho,451,99.90704732762622,16183.0,148.0,1609
Illinois,451,234.99331481597144,130163.0,4454.0,27578
Indiana,451,155.16517894117874,54785.0,6250.044184664157,10154
Iowa,451,88.98341787139607,21792.0,183.0,2332
Kansas,451,70.94560235687031,16901.0,375.0,1730
Kentucky,451,73.67153886173675,29747.0,971.0,2522
Louisiana,451,502.86409357213614,131987.0,1868.0,23118
Maine,451,70.44257014018667,14903.0,133.0,827
Maryland,451,194.70549783917613,62009.0,2612.0,11572
Massachusetts,451,501.21128732131547,148744.0,3729.0,34402
Michigan,451,376.82972274404534,98959.0,3674.0,30023
Minnesota,451,41.84822800046741,43053.0,518.0,2070
Mississippi,451,131.00967599542142,38584.0,736.0,3793
Missouri,451,91.6637995063023,51717.0,1043.0,5371
Montana,451,48.73052366836916,10244.0,54.0,422
Nebraska,451,69.8891738653827,13104.0,6250.044184664157,1066
Nevada,451,116.81650493901111,29762.0,6250.044184664157,3524
New Hampshire,451,96.90185129970457,12708.0,190.0,1287
New Jersey,451,883.4195170335244,157449.0,8011.0,78467
New Mexico,451,95.77021864035076,34488.0,230.0,1597
New York,451,1367.6333437617227,550579.0,52424.0,230597
North Carolina,451,60.950556444802935,72981.0,429.0,6045
North Dakota,451,64.80678343980554,12342.0,47.0,393
Ohio,451,81.50272153042906,77677.0,2424.0,9107
Oklahoma,451,67.39329304134858,33620.0,528.0,2465
Oregon,451,44.54622000991248,36321.0,427.0,1785
Pennsylvania,451,237.44196324336758,147373.0,2603.0,29888
Rhode Island,451,394.29429627860566,30761.0,331.0,4177
South Carolina,451,81.32976850083581,36284.0,675.0,4099
South Dakota,451,191.74009229615208,11062.0,63.0,1411
Tennessee,451,95.40087943068389,87273.0,711.0,6263
Texas,451,77.65647557941176,169536.0,1522.0,17849
Utah,451,97.45690855380647,55771.0,244.0,2793
Vermont,451,127.58131056632016,12116.0,32.0,779
Virginia,451,94.73608330603764,48997.0,1308.0,7491
Washington,451,152.55510932453862,128900.0,622.0,11517
West Virginia,451,58.579075705329856,18681.0,85.0,775
Wisconsin,451,78.32533363635362,46410.0,1153.0,4053
Wyoming,451,61.33858901134261,6427.0,43.0,305
Alabama,454,100.49271715714805,42538.0,620.0,4712
Alaska,454,52.530409921221114,9655.0,39.0,314
Arizona,454,64.90154789642186,51045.0,566.0,4724
Arkansas,454,67.36121330523011,24141.0,291.0,1744
California,454,77.76606266683194,251614.0,4892.0,30491
Colorado,454,159.648818480511,43307.0,1755.0,9047
Connecticut,454,492.2464867484722,55462.0,1946.0,17550
Delaware,454,260.6381012237051,14017.0,224.0,2538
Florida,454,120.06062750846505,246527.0,3842.0,25492
Georgia,454,174.26092469243477,74208.0,3420.0,17669
Hawaii,454,40.542850402532586,22343.0,48.0,574
Idaho,454,102.76330846937313,16609.0,151.0,1655
Illinois,454,248.47360432350888,137404.0,4340.0,29160
Indiana,454,162.60711730481415,56873.0,6250.044184664157,10641
Iowa,454,95.88993529623428,22947.0,193.0,2513
Kansas,454,74.67742305887911,17676.0,383.0,1821
Kentucky,454,79.07567632780388,30596.0,1008.0,2707
Louisiana,454,512.9135447024382,137999.0,1761.0,23580
Maine,454,72.14613894647898,14923.0,136.0,847
Maryland,454,207.3919777364056,65370.0,2757.0,12326
Massachusetts,454,529.9127068906134,156806.0,3729.0,36372
Michigan,454,386.46917340078943,99727.0,3634.0,30791
Minnesota,454,44.65832640243116,44268.0,561.0,2209
Mississippi,454,137.26139003580406,38765.0,782.0,3974
Missouri,454,95.2136171002905,53759.0,875.0,5579
Montana,454,49.192424366647536,10569.0,55.0,426
Nebraska,454,81.88703391919606,13677.0,6250.044184664157,1249
Nevada,454,120.19768641000404,30751.0,6250.044184664157,3626
New Hampshire,454,101.04295605610218,12852.0,190.0,1342
New Jersey,454,916.665822280316,162536.0,7718.0,81420
New Mexico,454,107.82395310917386,35613.0,242.0,1798
New York,454,1433.5546029971488,596532.0,54339.0,241712
North Carolina,454,63.803990270093145,76211.0,388.0,6328
North Dakota,454,87.06865561378456,12963.0,47.0,528
Ohio,454,91.48136812166969,78758.0,2519.0,10222
Oklahoma,454,67.39329304134858,35536.0,541.0,2465
Oregon,454,46.018616077467,37583.0,449.0,1844
Pennsylvania,454,251.45586926455672,153965.0,2613.0,31652
Rhode Island,454,423.9348059820968,32826.0,331.0,4491
South Carolina,454,84.28613237168835,38833.0,776.0,4248
South Dakota,454,209.54161751996216,11660.0,68.0,1542
Tennessee,454,100.36666047721157,90586.0,719.0,6589
Texas,454,81.37636389922785,176239.0,1321.0,18704
Utah,454,101.78367427549357,59944.0,251.0,2917
Vermont,454,131.5119286068743,12566.0,56.0,803
Virginia,454,101.84350271839823,51931.0,1307.0,8053
Washington,454,155.98584417867215,131627.0,518.0,11776
West Virginia,454,59.33493474668896,19440.0,83.0,785
Wisconsin,454,81.14682357242755,48161.0,1176.0,4199
Wyoming,454,62.143029522966785,6522.0,50.0,309
Alabama,457,104.24626516641337,45712.0,641.0,4888
Alaska,457,53.36688141678196,9895.0,37.0,319
Arizona,457,67.77293305949387,52990.0,631.0,4933
Arkansas,457,68.79032161503143,24209.0,291.0,1781
California,457,80.1634946601028,280900.0,4731.0,31431
Colorado,457,171.70144841553798,44606.0,1797.0,9730
Connecticut,457,503.8023586880944,58213.0,1938.0,17962
Delaware,457,260.6381012237051,14794.0,249.0,2538
Florida,457,123.9320317063294,256079.0,3930.0,26314
Georgia,457,180.49403943608849,79933.0,3464.0,18301
Hawaii,457,40.9666432638831,23470.0,51.0,580
Idaho,457,103.57051270508421,16869.0,151.0,1668
Illinois,457,258.6732924022208,143318.0,4314.0,30357
Indiana,457,171.31739423966462,61142.0,6250.044184664157,11211
Iowa,457,110.7332241264114,24550.0,198.0,2902
Kansas,457,78.12218062996416,18130.0,390.0,1905
Kentucky,457,86.46619945707405,32225.0,1059.0,2960
Louisiana,457,520.4832611382503,141504.0,1748.0,23928
Maine,457,73.84970775277128,14943.0,136.0,867
Maryland,457,216.1580997874089,67891.0,2886.0,12847
Massachusetts,457,554.753275604143,162241.0,3729.0,38077
Michigan,457,394.41418937177775,109661.0,3403.0,31424
Minnesota,457,47.630157086522324,45716.0,574.0,2356
Mississippi,457,147.62334700881388,39065.0,808.0,4274
Missouri,457,98.01251174170434,53909.0,875.0,5743
Montana,457,50.0007505886347,10898.0,55.0,433
Nebraska,457,96.63850119847477,14575.0,6250.044184664157,1474
Nevada,457,123.57886788099701,31598.0,6250.044184664157,3728
New Hampshire,457,104.65701111623102,13424.0,192.0,1390
New Jersey,457,960.3600013059844,170688.0,7494.0,85301
New Mexico,457,110.64248803471956,36632.0,258.0,1845
New York,457,1469.750504491868,617555.0,55723.0,247815
North Carolina,457,66.55659604501972,78772.0,465.0,6601
North Dakota,457,96.46811275390905,13630.0,51.0,585
Ohio,457,103.83162130185987,86989.0,2565.0,11602
Oklahoma,457,70.18198102926647,35565.0,541.0,2567
Oregon,457,47.665703203883936,39038.0,456.0,1910
Pennsylvania,457,261.38635822514993,158854.0,2634.0,32902
Rhode Island,457,444.2300594414936,34699.0,331.0,4706
South Carolina,457,86.84566887732578,40480.0,776.0,4377
South Dakota,457,222.179341533812,12062.0,74.0,1635
Tennessee,457,107.6934723894196,97098.0,724.0,7070
Texas,457,83.7953789937515,182710.0,1471.0,19260
Utah,457,107.08745161175513,63555.0,259.0,3069
Vermont,457,133.14968612377191,12726.0,53.0,813
Virginia,457,108.02771640637744,54733.0,1422.0,8542
Washington,457,162.33071674674142,135706.0,586.0,12255
West Virginia,457,67.27145468095945,20031.0,72.0,890
Wisconsin,457,83.98763878203624,49669.0,1190.0,4346
Wyoming,457,62.94747003459094,7281.0,50.0,313
Alabama,460,108.3197178355592,45900.0,641.0,5079
Alaska,460,53.70147001500629,10124.0,46.0,321
Arizona,460,69.62765553324851,54500.0,637.0,5068
Arkansas,460,76.20623500643292,26553.0,291.0,1973
California,460,85.91478098438557,290500.0,4674.0,33686
Colorado,460,171.70144841553798,46195.0,1813.0,9730
Connecticut,460,555.7757341835313,62806.0,1919.0,19815
Delaware,460,281.8958186993974,16470.0,256.0,2745
Florida,460,127.44078611923568,266225.0,4010.0,27059
Georgia,460,191.40199023748264,84328.0,3550.0,19407
Hawaii,460,41.24917183811678,24175.0,52.0,584
Idaho,460,103.81888323914913,17445.0,151.0,1672
Illinois,460,268.52361773136954,148358.0,4599.0,31513
Indiana,460,178.60652072725006,64639.0,6250.044184664157,11688
Iowa,460,120.539715718585,25820.0,214.0,3159
Kansas,460,83.98647030454939,18761.0,405.0,2048
Kentucky,460,89.09523930543104,32572.0,1059.0,3050
Louisiana,460,533.4257360787911,142099.0,1794.0,24523
Maine,460,74.53113527528821,14951.0,138.0,875
Maryland,460,230.2411020075429,71397.0,3014.0,13684
Massachusetts,460,554.753275604143,162241.0,3729.0,38077
Michigan,460,401.64377736433573,113798.0,3374.0,32000
Minnesota,460,49.93484210683792,46850.0,602.0,2470
Mississippi,460,155.84383287406837,51434.0,819.0,4512
Missouri,460,100.52127706053257,56013.0,873.0,5890
Montana,460,50.0007505886347,11051.0,57.0,433
Nebraska,460,108.04630256111696,15680.0,6250.044184664157,1648
Nevada,460,126.96004935198994,32347.0,6250.044184664157,3830
New Hampshire,460,108.94870150013399,14118.0,198.0,1447
New Jersey,460,998.875277380916,178057.0,6986.0,88722
New Mexico,460,118.19856038831017,37042.0,274.0,1971
New York,460,1500.8577473789405,633861.0,57103.0,253060
North Carolina,460,69.52094072570989,79484.0,373.0,6895
North Dakota,460,103.39402854136915,14747.0,53.0,627
Ohio,460,115.6180585759979,90436.0,2653.0,12919
Oklahoma,460,73.27140987862646,35646.0,541.0,2680
Oregon,460,48.8386288848172,40045.0,465.0,1957
Pennsylvania,460,269.4260820876462,162952.0,2701.0,33914
Rhode Island,460,480.4783260852533,37080.0,331.0,5090
South Carolina,460,88.21472328731791,40480.0,776.0,4446
South Dakota,460,228.97381681007545,12326.0,87.0,1685
Tennessee,460,110.25252519867314,100689.0,730.0,7238
Texas,460,85.93159556103771,190394.0,1411.0,19751
Utah,460,112.11208277242399,68311.0,268.0,3213
Vermont,460,133.64101337884117,12981.0,49.0,816
Virginia,460,113.69341729025207,56735.0,1500.0,8990
Washington,460,160.46301939371898,138642.0,403.0,12114
West Virginia,460,68.17848553059036,22155.0,77.0,902
Wisconsin,460,86.94440563285343,51102.0,1211.0,4499
Wyoming,460,63.75191054621511,7386.0,51.0,317
Alabama,463,113.39553843899748,48526.0,699.0,5317
Alaska,463,55.03982440790365,11119.0,42.0,329
Arizona,463,72.21052831151424,55152.0,637.0,5256
Arkansas,463,76.86285233796326,27441.0,291.0,1990
California,463,90.45204855462906,300100.0,4886.0,35465
Colorado,463,184.81287453812226,47466.0,1880.0,10473
Connecticut,463,571.0620210939543,64192.0,1949.0,20360
Delaware,463,300.99695614132384,16656.0,263.0,2931
Florida,463,131.25567346749614,277059.0,4235.0,27869
Georgia,463,196.07682629522301,88140.0,3779.0,19881
Hawaii,463,41.390436125233606,24696.0,55.0,586
Idaho,463,107.79281178418836,17660.0,157.0,1736
Illinois,463,281.6971497027052,154997.0,4776.0,33059
Indiana,463,184.8565264576954,67264.0,6250.044184664157,12097
Iowa,463,138.9316571482646,27615.0,214.0,3641
Kansas,463,88.74351647414301,19101.0,419.0,2164
Kentucky,463,93.59381860150854,32820.0,1059.0,3204
Louisiana,463,540.6256675163021,142430.0,1798.0,24854
Maine,463,75.6384549993782,14964.0,139.0,888
Maryland,463,238.80531721668046,73635.0,3158.0,14193
Massachusetts,463,600.2384694596499,175372.0,3872.0,41199
Michigan,463,410.01553984877364,117226.0,3357.0,32667
Minnesota,463,51.89584602763277,47697.0,629.0,2567
Mississippi,463,162.8899636157151,52364.0,858.0,4716
Missouri,463,103.52496887083036,57120.0,1001.0,6066
Montana,463,50.462651286913086,11241.0,59.0,437
Nebraska,463,110.47209940259836,16372.0,6250.044184664157,1685
Nevada,463,130.50697501273746,33055.0,6250.044184664157,3937
New Hampshire,463,112.18629249149944,14339.0,206.0,1490
New Jersey,463,1040.1376237166735,184826.0,7594.0,92387
New Mexico,463,118.19856038831017,38755.0,291.0,1971
New York,463,1532.2971171681436,649325.0,57103.0,258361
North Carolina,463,71.9307311294002,83331.0,427.0,7134
North Dakota,463,106.19737540772205,14987.0,54.0,644
Ohio,463,122.83132238993507,94239.0,2779.0,13725
Oklahoma,463,76.74359982436734,44344.0,561.0,2807
Oregon,463,50.011554565750465,41128.0,471.0,2004
Pennsylvania,463,280.0318442975597,166851.0,2743.0,35249
Rhode Island,463,519.1809024496843,39333.0,576.0,5500
South Carolina,463,88.07583370949261,41277.0,776.0,4439
South Dakota,463,238.4860821968441,12815.0,100.0,1755
Tennessee,463,112.6287885215514,108182.0,760.0,7394
Texas,463,89.51225999052146,205399.0,1419.0,20574
Utah,463,115.04311761614748,72358.0,277.0,3297
Vermont,463,133.96856488222068,13111.0,41.0,818
Virginia,463,121.78727569578727,58354.0,1581.0,9630
Washington,463,166.41050954625157,141011.0,503.0,12392
West Virginia,463,68.63200095540583,22763.0,85.0,908
Wisconsin,463,89.37939009823229,52461.0,1252.0,4625
Wyoming,463,89.09178666237631,7621.0,52.0,443
Alabama,466,119.28178418079986,48760.0,730.0,5593
Alaska,466,56.043590202576674,12159.0,39.0,335
Arizona,466,75.19182295451245,56601.0,664.0,5473
Arkansas,466,87.90947332723837,29713.0,291.0,2276
California,466,95.24436208160348,465327.0,4984.0,37344
Colorado,466,192.18915464477124,48704.0,2003.0,10891
Connecticut,466,630.2157442023603,69918.0,1972.0,22469
